Id,y
10000,-66.00242349023137
10001,451.40650440115456
10002,-461.676417060299
10003,40.501208753724455
10004,-126.74472245403842
10005,-342.53455181925244
10006,-396.555542113589
10007,335.54127907908764
10008,-99.51242087062431
10009,304.812539806276
10010,68.89453048978598
10011,412.36919545590825
10012,54.94237102476811
10013,-17.005550754779968
10014,-597.8499575722619
10015,443.5022887864154
10016,144.77448697804326
10017,-57.41116367253777
10018,134.38782757746287
10019,-108.98377598910916
10020,153.8248284250677
10021,611.7359836022039
10022,588.3896503384233
10023,-131.0167999580199
10024,-61.13562114122922
10025,-374.2484953169732
10026,74.15799307965494
10027,137.43837873610414
10028,420.0866117967909
10029,196.76562571344456
10030,268.44284980053317
10031,638.4749102511103
10032,127.37873138691826
10033,1.3491187584003548
10034,22.71045317740687
10035,342.23953452256586
10036,307.70396697417243
10037,348.13820870094133
10038,-168.65286130735407
10039,-20.221130904617823
10040,-551.7499275731111
10041,-429.9718040667425
10042,261.89195870674337
10043,389.82042612922123
10044,-96.16562227356626
10045,-210.71080125632625
10046,278.881868784013
10047,-427.4533010310499
10048,-172.90325291756906
10049,467.2643783557851
10050,-631.5587355874404
10051,-355.53165933817843
10052,143.17327553860406
10053,69.19920259894143
10054,275.5882739767271
10055,-263.1886122041042
10056,167.49830723241195
10057,104.57789589014189
10058,230.07008661007762
10059,20.98802664457657
10060,-4.822581262502226
10061,-201.92294081063773
10062,560.0639265657712
10063,55.288476252448824
10064,671.3015746918352
10065,-493.74873828522914
10066,-279.35303673259216
10067,-53.71252761314692
10068,379.69819550097645
10069,315.0714108579838
10070,169.13001732614248
10071,-271.59930326901116
10072,783.8022226750354
10073,44.577311515548445
10074,57.406780054578775
10075,-161.07827414306863
10076,-220.6695784788581
10077,223.24129442929112
10078,352.66559554375635
10079,13.163291366266236
10080,-461.9941469857308
10081,305.3721466914237
10082,-230.59656173861092
10083,359.07444324254476
10084,-430.26056337592195
10085,-115.54882205546409
10086,-88.96006387867413
10087,-488.29018980804346
10088,-139.35033854713592
10089,57.33880810852611
10090,-190.33624272166497
10091,-6.508092914824346
10092,189.2910777470187
10093,346.60367818565646
10094,871.6273206485924
10095,-147.01353738653904
10096,443.48993777943184
10097,-30.498432974438188
10098,185.46345753445928
10099,-119.91717151732792
10100,43.575238001809026
10101,58.31857155224411
10102,-197.15246829839873
10103,-70.47160678841225
10104,-342.84605328866735
10105,-29.233589873717037
10106,49.52292929610394
10107,-16.246144137912296
10108,33.775069261607825
10109,-68.88307748324094
10110,25.86339949369618
10111,-617.3142842716973
10112,-185.90441301194974
10113,323.78310610938775
10114,-35.662195722126945
10115,-733.5297711613854
10116,-240.73856264736065
10117,-381.9731466242498
10118,75.31994462169496
10119,36.61032645911696
10120,-28.756270225023584
10121,-481.16062796858995
10122,408.85023042299025
